Symbol,Count,Frequency,MedianOccurence,MinOccurence

e ,37131,3.9636883405797954,24.227518784842854,2

s ,23196,2.4761443200584132,39.37808242800483,2

t ,19119,2.0409296109327815,47.99633872064439,2

es,17636,1.8826211945400142,52.10376502608301,2

 d,15967,1.7044575081209121,57.658545750610635,2

"

",15429,1.6470266733135563,59.71540605353555,1

en,14753,1.574864509131823,62.48742628617908,1

qu,13069,1.3950995912589843,70.55704338510981,3

 l,12572,1.3420454557585089,73.45943366210626,2

re,11827,1.2625176268895866,78.16081846622136,1

 p,11780,1.2575004350012116,78.51426146010186,2

nt,11725,1.251629253004177,78.84690831556503,2

de,11625,1.2409543766459326,79.56232258064516,2

le,11511,1.2287850175975337,80.37798627399879,2

on,11147,1.1899284676535233,83.02825872432045,1

", ",11100,1.1849112757651485,83.38747747747747,2

 c,10945,1.1683652174098693,84.55258108725445,2

 e,10298,1.099298767372027,89.96581860555447,2

ou,9629,1.0278838445353706,96.28518018485823,2

 q,9524,1.0166752243592139,95.30260394792104,3

 s,9040,0.9650088227853101,102.59269911504425,2

n ,8381,0.8946613875844783,110.74692757427515,2

ue,8127,0.8675472016345371,113.86649440137812,1

te,7432,0.7933568109447372,125.04211517761033,2

ai,7422,0.7922893233089128,125.21045540285637,2

an,7371,0.786845136366208,126.07950074616741,1

 a,7366,0.7863113925482957,126.17295682867228,1

se,7260,0.7749960236085566,127.99159779614325,2

is,7128,0.7609051868156737,130.38622334455667,1

it,7048,0.752365285729078,131.89415437003404,2

oi,7018,0.7491628228216047,131.73339982901112,2

me,7009,0.7482020839493626,132.5774004850906,1

r ,6957,0.7426511482430754,133.64927411240478,2

er,6778,0.7235431195618177,137.2038949542638,1

ce,6167,0.6583196250129433,150.88649262202043,2

 m,6132,0.6545834182875577,151.73907371167644,2

et,6101,0.6512742066165019,152.53925585969515,2

in,6057,0.6465772610188742,153.62869407297342,1

ne,5908,0.6306716952450898,157.5583953960731,2

ns,5789,0.6179685923787788,160.7911556400069,2

 n,5785,0.617541597324449,160.92947277441658,2

ur,5733,0.6119906616181618,162.39246467817895,1

i ,5607,0.5985403174067736,165.48225432495096,2

a ,5521,0.5893599237386833,168.5884803477631,1

co,5423,0.5788985449076036,171.6671583994099,1

tr,5357,0.5718531265111622,173.73548627963413,3

eu,5319,0.5677966734950292,173.9650310208686,2

la,5274,0.5629929791338192,176.55043610163065,2

ie,5175,0.552424851539157,179.60521739130434,3

ar,5160,0.5508236200854204,180.54147286821706,2

us,4985,0.5321425864584923,186.82988966900703,1

ui,4909,0.5240296804262264,189.50315746587899,3

ut,4764,0.5085511097067719,195.63308144416456,3

 t,4684,0.5000112086201761,198.98889837745517,2

il,4636,0.49488726796821875,201.05672993960312,3

pa,4541,0.4847461354278864,205.21118696322395,2

au,4310,0.4600871710403414,215.36334106728538,2

el,4169,0.44503559537521653,223.67618133845048,3

st,4023,0.4294502758921795,231.77056922694507,4

ti,4005,0.42752879814769545,232.8729088639201,1

un,3908,0.4171741680801982,238.67681678607983,4

em,3823,0.4081005231756903,244.02537274391838,3

ra,3742,0.3994538733255122,249.30491715660074,1

"e,",3635,0.3880317556221905,256.4261348005502,4

so,3613,0.38568328282337666,258.02906172156105,3

l ,3584,0.3825875686794858,260.36607142857144,2

or,3561,0.3801323471170895,262.0002808199944,2

nd,3545,0.3784243668997704,263.2324400564175,4

ll,3514,0.3751151552287146,265.42629482071715,4

ir,3488,0.37233968737557094,267.41800458715596,2

 f,3473,0.3707384559218343,268.56176216527496,3

 j,3441,0.36732249548719603,265.716652136007,2

si,3425,0.36561451526987687,272.4385401459854,2

u ,3387,0.36155806225374393,274.24092116917626,2

"e
",3351,0.3577151067647759,278.3169203222919,19

ss,3287,0.3508831858954993,283.8649224216611,2

po,3275,0.34960220073251,284.8430534351145,3

ro,3246,0.3465064865886191,287.56438693776954,2

ri,3220,0.34373101873547546,289.90683229813664,2

pr,3187,0.3402083095372548,292.9061813617822,2

 i,3147,0.33593835899395696,296.59771210676837,2

 v,3123,0.33337638866797825,298.63272494396415,3

di,3122,0.3332696399043958,298.9951953875721,3

ma,3107,0.33166840845065915,300.49114901834565,2

"s,",3069,0.32761195543452615,304.2134245682633,6

 r,3056,0.3262242215079544,305.1024214659686,3

ve,3027,0.32312850736406346,308.4324413610836,3

vo,3000,0.32024629074733746,311.041,4

to,2969,0.3169370790762816,314.509936005389,4

pe,2947,0.31458860627746776,316.75670173057347,3

ch,2936,0.31341436987806087,318.02213896457766,3

. ,2928,0.3125603797694013,318.7841530054645,2

nc,2856,0.30487446879146524,326.9345238095238,2

 o,2731,0.2915308733436595,341.99780300256316,2

om,2696,0.2877946666182739,346.3201038575668,5

je,2676,0.28565969134662494,349.00822122571003,2

no,2587,0.2761590513877873,360.9412446849633,1

rt,2571,0.2744510711704682,363.23142746013224,3

à ,2525,0.2695406280456757,362.37029702970295,1

'e,2499,0.2667651601925321,275.82593037214883,4

lu,2493,0.26612466761103737,374.6851183313277,3

mo,2482,0.2649504312116305,374.92304593070105,3

ta,2348,0.25064609689158274,397.8232538330494,2

at,2315,0.24712338769336206,403.6047516198704,1

as,2297,0.24520190994887803,406.690030474532,2

sa,2248,0.2399712205333382,415.52669039145906,2

 à,2228,0.23783624526168926,410.8083482944345,5

"s
",2214,0.23634176257153502,421.70144534778683,31

av,2211,0.23602151628078766,421.9525101763908,5

os,2195,0.23431353606346855,425.61731207289296,6

u',2187,0.23345954595480897,315.5843621399177,5

 u,2165,0.2311110731559952,431.46651270207855,2

l',2165,0.2311110731559952,328.0919168591224,5

io,2129,0.22726811766702712,438.9539689995303,9

pl,2115,0.2257736349768729,441.7574468085106,5

'a,2078,0.22182393072432238,331.77959576515883,3

rs,2065,0.22043619679775062,452.2852300242131,4

é ,2012,0.21477851232788095,455.0347912524851,3

; ,2002,0.2137110246920565,457.1838161838162,12

ho,1909,0.20378338967888904,489.6794133053955,4

té,1889,0.20164841440724013,484.9105346744309,2

ét,1849,0.1973784638639423,495.18550567874524,3

fa,1758,0.18766432637793973,531.7002275312856,4

da,1731,0.18478210976121368,540.1086077411901,2

"t
",1711,0.18264713448956477,546.249561659848,59

li,1704,0.18189989314448765,548.5839201877934,3

dé,1694,0.1808324055086632,539.780401416765,3

su,1689,0.18029866169075096,553.5973949082297,5

ée,1681,0.1794446715820914,545.0356930398573,6

mm,1659,0.1770961987832776,562.3387582881254,5

ré,1641,0.17517472103879356,558.2480195003047,2

ca,1635,0.17453422845729888,571.3051987767584,6

'i,1627,0.17368023834863933,424.5507068223725,4

nn,1616,0.17250600194923243,577.8279702970297,8

ec,1613,0.1721857556584851,579.6714197148171,5

"

",1562,0.16674156871578036,598.7291933418694,1

ni,1553,0.16578082984353834,601.6844816484224,2

id,1526,0.1628986132268123,612.0203145478375,7

 b,1524,0.16268511569964741,613.3464566929134,2

uv,1492,0.15926915526500915,613.372654155496,5

bl,1482,0.1582016676291847,629.7462887989204,2

ux,1433,0.15297097821364486,639.5045359385904,3

do,1431,0.15275748068647996,653.5087351502445,3

he,1428,0.15243723439573262,654.9887955182073,2

d',1411,0.15062250541483102,489.08858965272856,6

lo,1402,0.149661766542589,666.6925820256776,5

 é,1397,0.1491280227246768,655.7258410880459,3

al,1366,0.145818811053621,684.3740849194729,4

na,1365,0.14571206229003852,685.1567765567765,1

mp,1312,0.1400543778201689,712.7012195121952,8

"t,",1311,0.13994762905658645,712.0244088482075,3

vi,1300,0.13877339265717956,718.8107692307692,5

mi,1298,0.13855989513001465,719.3274268104776,5

du,1282,0.13685191491269552,729.6411856474259,4

e.,1277,0.13631817109478328,731.981989036805,19

"
d",1270,0.1355709297497062,736.0503937007874,62

ct,1265,0.13503718593179395,739.4142292490119,7

".
",1242,0.13258196436939768,753.2455716586152,3

ge,1242,0.13258196436939768,752.280998389694,4

fo,1227,0.130980732915661,762.2787286063569,4

"
p",1222,0.13044698909774877,763.4803600654665,63

ci,1213,0.12948625022550675,771.0436933223413,5

"
c",1212,0.1293795014619243,770.2508250825083,63

ul,1199,0.12799176753535252,779.9841534612177,7

ac,1193,0.12735127495385784,783.9857502095557,4

fi,1182,0.12617703855445095,791.0820642978003,6

êt,1181,0.12607028979086848,775.5935647756139,4

va,1167,0.12457580710071425,798.3453299057412,6

ér,1165,0.12436230957354936,786.5562231759657,7

 C,1153,0.12308132441056002,809.6678230702515,6

x ,1144,0.122120585538318,816.6791958041958,3

y ,1140,0.12169359048398821,820.3964912280702,3

n',1117,0.11923836892159195,617.0089525514771,15

tt,1103,0.11774388623143772,848.269265639166,5

im,1092,0.11656964983203082,854.7673992673992,3

ex,1088,0.11614265477770103,857.9402573529412,8

ap,1063,0.11347393568813989,879.9087488240827,7

tu,1027,0.10963098019917185,909.4157740993184,4

ag,1025,0.10941748267200695,911.7551219512195,1

