Symbol,Count,Frequency,MedianOccurence,MinOccurence
 que ,3630,0.3874980118042783,136.0,6.0
 les ,2348,0.25064609689158274,204.0,7.0
ement,2030,0.21669999007236498,250.0,11.0
 qui ,1975,0.21082880807533044,293.0,8.0
ment ,1780,0.19001279917675354,290.0,7.0
e de ,1615,0.17239925318564997,360.0,7.0
", et ",1584,0.16909004151459417,384.5,14.0
 de l,1533,0.16364585457188943,347.0,6.0
e que,1401,0.14955501777900657,316.0,3.0
 des ,1300,0.13877339265717956,324.5,7.0
 pour,1170,0.12489605339146159,470.0,11.0
que j,1149,0.12265432935623023,204.0,8.0
 tout,1138,0.12148009295682331,484.0,12.0
e la ,1124,0.1199856102666691,483.5,10.0
dans ,1117,0.11923836892159195,453.0,13.0
 dans,1105,0.11795738375860261,459.0,13.0
 plus,1099,0.11731689117710795,494.0,7.0
elle ,1098,0.1172101424135255,398.0,6.0
chose,1092,0.11656964983203082,311.0,12.0
s de ,1066,0.11379418197888724,550.5,7.0
t de ,1029,0.10984447772633675,546.0,7.0
 est ,1018,0.10867024132692983,417.5,8.0
qu'il,1017,0.10856349256334738,395.0,11.0
 chos,994,0.10610827100095113,340.0,12.0
 par ,991,0.1057880247102038,475.0,10.0
 pas ,930,0.0992763501316746,542.5,5.0
".

",926,0.09884935507734481,624.0,7.0
t que,921,0.09831561125943258,561.0,9.0
pour ,901,0.09618063598778367,568.0,11.0
plus ,901,0.09618063598778367,564.0,7.0
 qu'i,892,0.09521989711554166,451.0,11.0
ce qu,847,0.0904162027543316,618.0,6.0
que l,822,0.08774748366477045,628.0,12.0
autre,820,0.08753398613760556,625.5,9.0
de la,807,0.08614625221103377,680.0,12.0
u'il ,806,0.08603950344745132,501.5,14.0
 une ,802,0.08561250839312154,637.0,9.0
s les,801,0.08550575962953909,660.0,10.0
s que,793,0.08465176952087952,638.0,10.0
e je ,788,0.0841180257029673,276.5,10.0
 de c,781,0.08337078435789018,751.0,9.0
être ,774,0.08262354301281305,590.5,7.0
ue je,774,0.08262354301281305,269.5,10.0
 nous,749,0.07995482392325191,173.0,4.0
 comm,721,0.07696585854294342,831.0,12.0
 quel,721,0.07696585854294342,687.0,11.0
comme,713,0.07611186843428386,852.0,14.0
mais ,712,0.07600511967070142,778.0,12.0
nous ,702,0.07493763203487697,169.5,4.0
ans l,702,0.07493763203487697,743.0,14.0
que c,696,0.07429713945338229,644.5,6.0
e qui,691,0.07376339563547005,782.0,18.0
ation,681,0.07269590799964559,632.0,9.0
elles,681,0.07269590799964559,476.0,5.0
tion ,677,0.07226891294531582,678.0,10.0
toute,669,0.07141492283665624,726.0,14.0
uelqu,666,0.07109467654590891,700.0,15.0
 et d,657,0.0701339376736669,782.0,11.0
es qu,652,0.06960019385575467,710.0,10.0
quelq,650,0.06938669632858978,719.0,16.0
omme ,644,0.0687462037470951,860.5,5.0
e con,636,0.06789221363843553,682.5,12.0
ient ,635,0.0677854648748531,727.0,7.0
nt qu,634,0.06767871611127063,717.0,21.0
elque,629,0.06714497229335842,751.0,16.0
e ne ,625,0.06671797723902863,771.0,11.0
es de,617,0.06586398713036906,788.0,3.0
e et ,595,0.06351551433155525,916.0,28.0
 être,591,0.06308851927722547,694.0,7.0
 ce q,591,0.06308851927722547,928.0,17.0
lemen,591,0.06308851927722547,786.0,15.0
voir ,590,0.06298177051364302,895.0,7.0
nt de,585,0.062448026695730796,937.0,15.0
point,582,0.06212778040498346,953.0,13.0
 mais,579,0.061807534114236125,931.0,71.0
"e, et",569,0.060740046478411656,907.0,21.0
" de
",567,0.06052654895124677,1068.0,55.0
ent d,561,0.0598860563697521,1024.0,9.0
e les,558,0.059565810079004765,873.5,18.0
e tou,558,0.059565810079004765,987.5,6.0
lles ,549,0.05860507120676275,652.0,5.0
'est ,547,0.05839157367959786,639.0,9.0
 autr,544,0.05807132738885051,877.0,10.0
 je n,541,0.05775108109810318,526.0,11.0
e qu',537,0.0573240860437734,742.0,13.0
"s, et",536,0.05721733728019095,1067.5,14.0
cette,532,0.05679034222586117,920.0,14.0
hoses,528,0.05636334717153139,641.0,18.0
re qu,526,0.05614984964436649,808.0,9.0
 et l,526,0.05614984964436649,1038.0,7.0
 poin,525,0.05604310088078404,1060.0,13.0
t pas,525,0.05604310088078404,1045.0,27.0
 sont,524,0.055936352117201604,868.5,10.0
de ce,521,0.05561610582645426,1022.0,15.0
vous ,521,0.05561610582645426,141.0,4.0
sont ,519,0.05540260829928937,871.0,10.0
et qu,515,0.05497561324495959,1115.0,20.0
ette ,515,0.05497561324495959,952.0,14.0
s qui,509,0.054335120663464916,1052.0,29.0
 même,507,0.05412162313630002,989.0,13.0
e cho,504,0.05380137684555269,638.5,12.0
 peut,498,0.05316088426405801,795.0,17.0
 de m,492,0.05252039168256333,858.5,11.0
tout ,489,0.052200145391816,1082.0,13.0
même ,488,0.05209339662823355,947.0,15.0
